Rk,Player,Nation,Pos,Squad,TeamID,Comp,CompID,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,GlsPer90,AstPer90,G+APer90
1,Max Aarons,eng ENG,DF,Norwich City,68,eng Premier League,44,21,2000,34,32,2881,32,0,2,2,0,0,0,8,0,0.8,0,0.06,0.06
2,Yunis Abdelhamid,ma MAR,DF,Reims,75,fr Ligue 1,33,33,1987,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,0.06,0,0.06
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,24,fr Ligue 1,33,21,2000,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.04,0,0.04
4,Laurent Abergel,fr FRA,MF,Lorient,52,fr Ligue 1,33,28,1993,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,0,0.06,0.06
5,Charles Abi,fr FRA,FW,Saint-êtienne,78,fr Ligue 1,33,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther FÅrth,37,de Bundesliga,11,22,1998,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,0,0.12,0.12
7,Matthis Abline,fr FRA,FW,Rennes,76,fr Ligue 1,33,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0,0,0
8,Tammy Abraham,eng ENG,FW,Roma,77,it Serie A,55,23,1997,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,0.5,0.12,0.61
9,Luis Abram,pe PER,DF,Granada,36,es La Liga,22,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0,0,0
10,Francesco Acerbi,it ITA,DF,Lazio,44,it Serie A,55,33,1988,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,0.14,0,0.14
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,27,de Bundesliga,11,23,1998,13,1,259,2.9,0,1,1,0,0,0,0,0,0.4,0,0.35,0.35
12,Mohamed Achi,fr FRA,MF,Nantes,64,fr Ligue 1,33,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0
13,Marcos Acu§a,ar ARG,DF,Sevilla,82,es La Liga,22,29,1991,31,26,2260,25.1,1,3,4,1,0,0,10,0,1.2,0.04,0.12,0.16
14,Che Adams,sct SCO,FW,Southampton,83,eng Premier League,44,25,1996,30,23,2039,22.7,7,3,10,7,0,0,0,0,7.1,0.31,0.13,0.44
15,Tyler Adams,us USA,MF,RB Leipzig,72,de Bundesliga,11,22,1999,24,12,1351,15,0,1,1,0,0,0,5,0,0.2,0,0.07,0.07
16,Sargis Adamyan,am ARM,FWMF,Hoffenheim,40,de Bundesliga,11,28,1993,13,2,331,3.7,1,0,1,1,0,0,0,0,0.7,0.27,0,0.27
17,Martin Adeline,fr FRA,MFFW,Reims,75,fr Ligue 1,33,17,2003,8,2,352,3.9,0,0,0,0,0,0,1,0,0.4,0,0,0
18,Amine Adli,fr FRA,FWMF,Leverkusen,49,de Bundesliga,11,21,2000,25,13,1256,14,3,2,5,3,0,0,3,0,4.3,0.21,0.14,0.36
19,Yacine Adli,fr FRA,MFFW,Bordeaux,15,fr Ligue 1,33,21,2000,36,25,2260,25.1,1,7,8,1,0,0,5,0,2,0.04,0.28,0.32
20,Michel Aebischer,ch SUI,MF,Bologna,14,it Serie A,55,24,1997,12,4,443,4.9,0,0,0,0,0,0,1,0,0.1,0,0,0
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,77,it Serie A,55,18,2003,17,6,668,7.4,2,0,2,2,0,0,5,1,1.7,0.27,0,0.27
22,Martin Agirregabiria,es ESP,DF,AlavÇs,1,es La Liga,22,25,1996,24,17,1616,18,0,1,1,0,0,0,4,0,0.2,0,0.06,0.06
23,Julen Agirrezabala,es ESP,GK,Athletic Club,7,es La Liga,22,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0
24,Lucien Agoume,fr FRA,MF,Brest,17,fr Ligue 1,33,19,2002,27,21,1868,20.8,0,0,0,0,0,0,6,0,1.2,0,0,0
25,Kevin Agudelo,co COL,MFFW,Spezia,84,it Serie A,55,22,1998,23,12,1237,13.7,3,1,4,3,0,0,2,1,2.6,0.22,0.07,0.29
26,Nayef Aguerd,ma MAR,DF,Rennes,76,fr Ligue 1,33,25,1996,31,31,2735,30.4,2,2,4,2,0,0,3,1,2.1,0.07,0.07,0.13
27,Sergio AgÅero,ar ARG,FW,Barcelona,10,es La Liga,22,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1,0.6,0,0.6
28,Ruben Aguilar,fr FRA,DF,Monaco,62,fr Ligue 1,33,28,1993,28,22,2140,23.8,0,2,2,0,0,0,4,0,0.3,0,0.08,0.08
29,?lvaro Aguirre,es ESP,FW,Rayo Vallecano,71,es La Liga,22,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0
30,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,86,de Bundesliga,11,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,15,fr Ligue 1,33,22,1999,15,15,1350,15,0,1,1,0,0,0,6,0,0.4,0,0.07,0.07
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,85,fr Ligue 1,33,27,1994,25,11,1004,11.2,1,1,2,1,0,0,2,0,1.9,0.09,0.09,0.18
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,22,es La Liga,22,25,1995,32,30,2637,29.3,0,0,0,0,0,0,1,0,0.3,0,0,0
34,Ola Aina,ng NGA,DF,Torino,87,it Serie A,55,24,1996,21,17,1437,16,0,0,0,0,0,0,4,0,0.2,0,0,0
35,Rayan Aãt Nouri,fr FRA,DFMF,Wolves,98,eng Premier League,44,20,2001,23,20,1828,20.3,1,2,3,1,0,0,4,0,0.6,0.05,0.1,0.15
36,Kristoffer Ajer,no NOR,DF,Brentford,16,eng Premier League,44,23,1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.8,0.05,0.14,0.18
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,85,fr Ligue 1,33,27,1994,36,31,2738,30.4,12,8,20,9,3,3,5,1,10.6,0.39,0.26,0.66
38,Manuel Akanji,ch SUI,DF,Dortmund,26,de Bundesliga,11,26,1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,1.9,0.04,0,0.04
39,Carlos Akapo,gq EQG,DF,C†diz,20,es La Liga,22,28,1993,25,21,1844,20.5,0,0,0,0,0,0,4,0,0.5,0,0,0
40,Marley AkÇ,fr FRA,FWMF,Juventus,42,it Serie A,55,20,2001,4,0,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0
41,Nathan AkÇ,nl NED,DF,Manchester City,56,eng Premier League,44,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.7,0.2,0,0.2
42,Ilias Akhomach,es ESP,FW,Barcelona,10,es La Liga,22,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0,0,0
43,Maghnes Akliouche,fr FRA,MFFW,Monaco,62,fr Ligue 1,33,19,2002,7,0,54,0.6,0,0,0,0,0,0,1,0,0.1,0,0,0
44,Paul Akouokou,ci CIV,MF,Betis,12,es La Liga,22,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0,0,0,0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,44,it Serie A,55,28,1992,10,4,315,3.5,0,0,0,0,0,0,1,0,0.1,0,0,0
46,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,40,de Bundesliga,11,26,1995,26,19,1527,17,2,2,4,2,0,0,5,0,1.2,0.12,0.12,0.24
47,David Alaba,at AUT,DF,Real Madrid,73,es La Liga,22,29,1992,30,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,0.07,0.1,0.17
48,Sofiane Alakouch,ma MAR,DFMF,Metz,59,fr Ligue 1,33,23,1998,4,0,158,1.8,0,0,0,0,0,0,1,0,0,0,0,0
49,Tom†s Alarc¢n,cl CHI,MF,C†diz,20,es La Liga,22,22,1999,23,16,1425,15.8,0,1,1,0,0,0,5,0,1.1,0,0.06,0.06
50,Lucas Alario,ar ARG,FW,Leverkusen,49,de Bundesliga,11,28,1992,27,5,655,7.3,6,0,6,6,0,1,2,0,6,0.82,0,0.82
51,Jordi Alba,es ESP,DF,Barcelona,10,es La Liga,22,32,1989,30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,0.07,0.34,0.41
52,JosuÇ Albert,gf GUF,DF,Clermont Foot,24,fr Ligue 1,33,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0
53,Luis Alberto,es ESP,MF,Lazio,44,it Serie A,55,28,1992,34,27,2353,26.1,5,9,14,5,0,0,5,0,3.3,0.19,0.34,0.54
54,Ra£l Albiol,es ESP,DF,Villarreal,94,es La Liga,22,35,1985,28,28,2465,27.4,0,0,0,0,0,0,8,0,0.4,0,0,0
55,Marc Albrighton,eng ENG,FWDF,Leicester City,46,eng Premier League,44,31,1989,17,11,1132,12.6,1,2,3,1,0,0,3,0,0.5,0.08,0.16,0.24
56,Paco Alc†cer,es ESP,FW,Villarreal,94,es La Liga,22,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,0.11,0.34,0.46
57,Thiago Alc†ntara,es ESP,MF,Liverpool,51,eng Premier League,44,30,1991,25,17,1534,17,1,4,5,1,0,0,2,0,1.9,0.06,0.23,0.29
58,RubÇn Alcaraz,es ESP,MF,C†diz,20,es La Liga,22,30,1991,14,12,1105,12.3,2,0,2,2,0,0,7,0,1.3,0.16,0,0.16
59,Omar Alderete,py PAR,DF,Valencia,92,es La Liga,22,24,1996,29,28,2403,26.7,2,0,2,2,0,0,15,0,0.8,0.07,0,0.07
60,Iv†n Alejo,es ESP,MFFW,C†diz,20,es La Liga,22,26,1995,20,11,1065,11.8,2,2,4,2,0,0,7,0,1.4,0.17,0.17,0.34
