TeamID,Squad,Comp,CompID,NumberOfPl,Age,Possession,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,Attendance,Top Team Scorer,Goalkeeper
1,AlavÇs,es La Liga,22,33,27.9,42,38,418,3420,38,29,20,49,23,6,7,93,4,0.76,0.53,1.29,"10,952",Joselu - 14,Fernando Pacheco
2,Angers,fr Ligue 1,33,30,27.4,48.4,38,418,3420,38,41,25,66,32,9,9,70,4,1.08,0.66,1.74,"7,758",Sofiane Boufal - 8,Danijel Petkovi?
3,Arminia,de Bundesliga,11,26,25.8,40.7,34,374,3060,34,26,18,44,24,2,2,55,2,0.76,0.53,1.29,"16,773",Masaya Okugawa - 8,Stefan Ortega
4,Arsenal,eng Premier League,44,27,24.4,52.8,38,418,3420,38,60,41,101,55,5,8,67,4,1.58,1.08,2.66,"59,665",Bukayo Saka - 11,Aaron Ramsdale
5,Aston Villa,eng Premier League,44,31,26.1,46.5,38,418,3420,38,50,42,92,47,3,3,81,2,1.32,1.11,2.42,"41,681",Ollie Watkins - 11,Emiliano Mart°nez
6,Atalanta,it Serie A,55,32,27.5,55,38,418,3420,38,62,48,110,57,5,6,87,2,1.63,1.26,2.89,"10,447",Mario Pa?ali? - 13,Juan Musso
7,Athletic Club,es La Liga,22,26,26.9,48.1,38,418,3420,38,40,34,74,37,3,7,90,4,1.05,0.89,1.95,"32,949",I§aki Williams - 8,Unai Sim¢n
8,AtlÇtico Madrid,es La Liga,22,26,28.1,50.6,38,418,3420,38,63,45,108,59,4,5,111,7,1.66,1.18,2.84,"48,039",?ngel Correa - 12,Jan Oblak
9,Augsburg,de Bundesliga,11,26,26.6,41.5,34,374,3060,34,39,26,65,34,5,5,74,0,1.15,0.76,1.91,"15,197",Michael Gregoritsch - 9,Rafa? Gikiewicz
10,Barcelona,es La Liga,22,38,26.2,64.2,38,418,3420,38,68,52,120,62,6,7,97,5,1.79,1.37,3.16,"53,982",Memphis - 12,Marc-AndrÇ ter Stegen
11,Bayern Munich,de Bundesliga,11,30,26.8,64.5,34,374,3060,34,92,70,162,87,5,5,36,2,2.71,2.06,4.76,"33,176",Robert Lewandowski - 35,Manuel Neuer
12,Betis,es La Liga,22,31,28.9,53.7,38,418,3420,38,60,45,105,54,6,6,87,6,1.58,1.18,2.76,"41,749",Juanmi - 16,Rui Silva
13,Bochum,de Bundesliga,11,28,28,44.7,34,374,3060,34,37,22,59,33,4,6,55,2,1.09,0.65,1.74,"14,236",Sebastian Polter - 10,Manuel Riemann
14,Bologna,it Serie A,55,36,26.6,50.6,38,418,3420,38,43,34,77,39,4,5,92,7,1.13,0.89,2.03,"14,158",Marko Arnautovi? - 14,?ukasz Skorupski
15,Bordeaux,fr Ligue 1,33,39,25.7,47.4,38,418,3420,38,50,39,89,48,2,4,91,5,1.32,1.03,2.34,"22,141",Hwang Ui-jo - 11,Benoåt Costil
16,Brentford,eng Premier League,44,29,25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,1.21,0.87,2.08,"16,918",Ivan Toney - 12,David Raya
17,Brest,fr Ligue 1,33,25,25.4,43.9,38,418,3420,38,48,32,80,41,7,8,59,2,1.26,0.84,2.11,"11,804",Franck Honorat - 11,Marco Bizot
18,Brighton,eng Premier League,44,26,26.2,54.4,38,418,3420,38,40,30,70,36,4,7,72,2,1.05,0.79,1.84,"30,966","Leandro Trossard, Neal Maupay - 8",Robert S†nchez
19,Burnley,eng Premier League,44,23,28.5,40.2,38,418,3420,38,32,26,58,31,1,2,68,2,0.84,0.68,1.53,"19,278",Maxwel Cornet - 9,Nick Pope
20,C†diz,es La Liga,22,33,28.5,41.3,38,418,3420,38,35,21,56,32,3,6,105,3,0.92,0.55,1.47,"14,055","Anthony Lozano, ?lvaro Negredo - 7",Jerem°as Ledesma
21,Cagliari,it Serie A,55,33,26.5,44.5,38,418,3420,38,34,26,60,31,3,4,96,5,0.89,0.68,1.58,"9,718",Jo?o Pedro - 13,Alessio Cragno
22,Celta Vigo,es La Liga,22,25,28.4,55.2,38,418,3420,38,43,29,72,40,3,6,87,3,1.13,0.76,1.89,"10,014",Iago Aspas - 18,Mat°as Dituro
23,Chelsea,eng Premier League,44,26,27.4,61.8,38,418,3420,38,75,52,127,67,8,9,63,1,1.97,1.37,3.34,"36,443",Mason Mount - 11,Edouard Mendy
24,Clermont Foot,fr Ligue 1,33,28,26.9,50,38,418,3420,38,36,25,61,34,2,3,65,8,0.95,0.66,1.61,"10,569",Mohamed Lamine Bayo - 14,Ouparine Djoco
25,Crystal Palace,eng Premier League,44,24,27.1,51.1,38,418,3420,38,50,31,81,44,6,8,69,1,1.32,0.82,2.13,"24,588",Wilfried Zaha - 14,Vicente Guaita
26,Dortmund,de Bundesliga,11,33,25.9,59.2,34,374,3060,34,81,57,138,70,11,11,63,1,2.38,1.68,4.06,"41,800",Erling Haaland - 22,Gregor Kobel
27,Eint Frankfurt,de Bundesliga,11,27,26.2,49.6,34,374,3060,34,43,33,76,42,1,2,61,1,1.26,0.97,2.24,"26,162",Rafael BorrÇ - 8,Kevin Trapp
28,Elche,es La Liga,22,28,29.1,48.4,38,418,3420,38,39,29,68,38,1,1,104,6,1.03,0.76,1.79,"15,640",Pere Milla - 8,êdgar Bad°a
